GroupID,Group Name,Group Type,Contact Name,Active,City
598,"Allstate Insurance Company Political Action Committee","Political Action Committee","Shirlanda Walker",F,"Northbrook"
600,"American Insurance Association PAC - Nevada","Political Action Committee","James L. Wadhams",F,"Sacramento"
601,"Board of Realtors Political Action Committee","Political Action Committee","Wendy DiVecchio",T,"Las Vegas"
603,"Churchill County Education Association - Together in Politics","Political Action Committee","Sue S Matuska",T,"Fallon"
607,"Carriers Allied for Responsible Government Officials","Political Action Committee","Daryl E. Capurro",F,"SPARKS"
610,"P.A.C. 357 (fka IBEW LOCAL 357 PAC)","Political Action Committee","Ronald Young",T,"Las Vegas"
615,"Building a Stronger Nevada","Political Action Committee","Frank Hawk",T,"Sacramento"
616,"Construction Industry Committee","Political Action Committee","Craig Madole",T,"Reno"
617,"Douglas County Professional Education Association Together in Politics","Political Action Committee","Sue S Matuska",T,"GARDNERVILLE"
621,"International Union of Painters and Allied Trades Political Action Together Political Committee","Political Action Committee","Jason Lamberth",T,"Hanover"
623,"Incline Village Realtors PAC","Political Action Committee","Kendra Murray",T,"Incline Village"
625,"Lincoln County Education Association TIP","Political Action Committee","Sue S Matuska",F,"Panaca"
631,"Lyon County Education Association - TIP","Political Action Committee","Sue Matuska",T,"Fernley"
632,"Plumbers & Pipefitters Local 525 PAC","Political Action Committee","Matt Lydon",T,"Las Vegas"
633,"Northern Nevada PAC","Political Action Committee","",F,"Reno"
635,"Nevada Medical Political Action Committee (NEMPAC)","Political Action Committee","Sarah Watkins",T,"Reno"
636,"Nevada Credit Union League Political Action Committee","Political Action Committee","Sue Longson",T,"Boulder City"
637,"Nevada Optometric PAC","Political Action Committee","Terri Ogden",T,"Sparks"
638,"Nevada Restaurant Association","Political Action Committee","Rodney Scott Olson",F,"Las Vegas"
639,"Nevada Faculty Alliance PAC","Political Action Committee","Sue Matuska",T,"Las Vegas"
640,"Nevada State Education Association - Together in Politics","Political Action Committee","Sue S Matuska",T,"LAS VEGAS"
641,"Nevada State AFL-CIO","Political Action Committee","Raymond McAllister",T,"Henderson"
642,"Nevada Dental Association PAC","Political Action Committee","Michele Reeder",T,"CARSON CITY"
649,"Ophthalmic Political Action Corporation","Political Action Committee","Adam Rovit, MD",F,"Las Vegas"
650,"Political Educational Fund of the Building & Construction Trades Department","Political Action Committee","Paul McKenzie",F,"Washington"
653,"NVRPAC","Political Action Committee","Tiffany Banks",T,"Reno"
654,"Roofers' Political Education and Legislative Fund","Political Action Committee","Modesto Gaxiola",F,"Washington"
663,"Washoe County Teachers Association","Political Action Committee","Sandra Lawrence",F,"Reno"
664,"Women's Campaign Fund","Political Action Committee","Jan Jones",F,"Washington"
666,"Rural Electric Advocates of Nevada","Political Action Committee","Carolyn Turner",T,"Carson City"
668,"Nevada Mining Association Political Action Committee","Political Action Committee","Tyre Gray",T,"RENO"
672,"SNR PAC","Political Action Committee","Heather Lunsford",F,"Carson City"
675,"R PAC     ""Rural PAC""","Political Action Committee","Debbie Cahill",F,"Reno"
676,"Humboldt County Classroom Teachers Association TIP  (HCCTA TIP)","Political Action Committee","Sandra Lawrence",F,"WINNEMUCCA"
680,"Nevada Concerned Citizens","Political Action Committee","Richard Ziser",F,"Las Vegas"
688,"CREPAC","Political Action Committee","Katrina Bruce",T,"Las Vegas"
689,"Storey County Education Association - TIP","Political Action Committee","Sue S Matuska",F,"Carson City"
690,"Operating Engineers Local Union #3 District 11 PAC","Political Action Committee","Steve Ingersoll",T,"Concord"
691,"Ormsby County Education Association TIP","Political Action Committee","Sue S. Matuska",T,"Carson City"
694,"Education Support Employees Association TIP","Political Action Committee","Sue S Matuska",T,"Las Vegas"
695,"Elko County Classroom Teachers Association - TIP","Political Action Committee","Sue S Matuska",T,"Elko"
697,"EMILY's List - NV","Political Action Committee","Emily Campbell",T,"Washington"
698,"Assembly Republican Caucus PAC","Political Action Committee","Kevin Magee",T,"Las Vegas"
699,"DOCPAC of Nevada","Political Action Committee","Hi V. Jeppson",F,"Napa"
700,"Citizens for Justice","Political Action Committee","Graham Galloway",T,"Carson City"
701,"Nevada NOW","Political Action Committee","Jeri Burton",T,"Las Vegas"
704,"Service Employees International","Political Action Committee","Adair Dammann",F,"Washington"
706,"Citizens for Private Enterprise ISUPAC","Political Action Committee","David L. Howard",F,"Reno"
709,"Coca-Cola Refreshments USA, Inc. Nonpartisan Political Action Committee","Political Action Committee","Shane Glisan",F,"Atlanta"
711,"Homeowners Against Discrimination in Taxes","Political Action Committee","Michael Lynch",F,"Reno"
714,"WHITE PINE SUPPORT STAFF ORGANIZATION - TIP","Political Action Committee","Karen Wilson",F,"Ely"
716,"Yes, Yes for Kids    (inactive)","Political Action Committee","Michael S. Lynch",F,"Reno"
718,"Nevada Automotive Wholesalers' Association Political Action Committee","Political Action Committee","Dave Finley",F,"Rancho Cordova"
719,"Nevada 1st PAC","Political Action Committee","David Nelson",T,"Gardnerville"
720,"Nevada Organization of Growth Opponents","Political Action Committee","William S. Hamma",F,"Reno"
724,"ARAMARK PAC","Political Action Committee","Mark M. Haley",F,"Philadelphia"
725,"LIUNA PAC","Political Action Committee","Eloy Jara",T,"Reno"
728,"Home Building Political Action Committee","Political Action Committee","Holly Nostro",T,"Las Vegas"
730,"Las Vegas Firefighters Local 1285","Political Action Committee","Cynthia Reveles",T,"Las Vegas"
736,"DLCC Nevada","Political Action Committee","Bradley Schrager",F,"Washington"
738,"Keystone Corporation","Political Action Committee","Saltzman Mugan Dushoff, PLLC",T,"Las Vegas"
741,"Nevada Society of CPAs PAC","Political Action Committee","Sharon Uithoven",F,"Reno"
744,"Sheet Metal Workers #88 PAC","Political Action Committee","Geremiah Robnett",T,"Las Vegas"
745,"Wells Fargo Bank Nevada State PAC","Political Action Committee","Merrie Linfoot",F,"Las Vegas"
746,"United Food and Commercial Workers Active Ballot Club","Political Action Committee","Mike Gittings",T,"Washington"
755,"The Big Elephant Club","Political Action Committee","George E. Harris",T,"Las Vegas"
756,"Nevada Beer Wholesalers PAC","Political Action Committee","Lewis Roca Rothgerber Christie",T,"Reno"
