ReportID,CandidateID,GroupID,Report Name,Election Cycle,Filing Due Date,Filed Date,Amended,Superseded
82264,3684,,"CE Report 3","2018",10/16/2018,"10/16/2018",F,F
82265,10903,,"CE Report 3","2018",10/16/2018,"10/13/2018",F,F
82267,21689,,"CE Report 3","2018",10/16/2018,"10/13/2018",F,F
82268,210,,"CE Report 3","2018",10/16/2018,"10/13/2018",F,F
82269,210,,"CE Report 4","2018",11/2/2018,"10/13/2018",F,F
82270,3419,,"CE Report 3","2018",10/16/2018,"10/13/2018",F,T
82271,6112,,"CE Report 3","2018",10/16/2018,"10/15/2018",F,F
82272,,632,"CE Report 3","2018",10/16/2018,"10/16/2018",F,T
82273,11086,,"CE Report 3","2018",10/16/2018,"10/16/2018",F,F
82274,10865,,"CE Report 3","2018",10/16/2018,"10/13/2018",F,F
82275,10856,,"CE Report 3","2018",10/16/2018,"10/13/2018",F,F
82276,4206,,"CE Report 3","2018",10/16/2018,"10/13/2018",F,F
82277,10834,,"CE Report 3","2018",10/16/2018,"10/13/2018",F,F
82278,4154,,"CE Report 3","2018",10/16/2018,"10/13/2018",F,F
82280,8067,,"CE Report 3","2018",10/16/2018,"10/13/2018",F,F
82281,,2159,"CE Report 3","2018",10/16/2018,"10/16/2018",F,F
82282,3410,,"CE Report 3","2018",10/16/2018,"10/16/2018",F,F
82283,6007,,"CE Report 3","2018",10/16/2018,"10/16/2018",F,F
82284,4401,,"CE Report 3","2018",10/16/2018,"10/14/2018",F,F
82285,9767,,"CE Report 4","2018",11/2/2018,"10/14/2018",F,F
82286,,3597,"CE Report 3","2018",10/16/2018,"10/14/2018",F,F
82287,9809,,"CE Report 3","2018",10/16/2018,"10/14/2018",F,F
82288,9809,,"CE Report 4","2018",11/2/2018,"10/14/2018",F,F
82289,9809,,"CE Report 5","2018",1/15/2019,"10/14/2018",F,F
82290,9809,,"2019 Annual CE Filing","2018",1/15/2019,"10/14/2018",F,F
82293,1737,,"CE Report 3","2018",10/16/2018,"10/15/2018",F,F
82294,6312,,"CE Report 3","2018",10/16/2018,"10/14/2018",F,F
82295,10905,,"CE Report 3","2018",10/16/2018,"10/14/2018",F,F
82296,6849,,"CE Report 3","2018",10/16/2018,"10/16/2018",F,F
82297,2034,,"CE Report 3","2018",10/16/2018,"10/16/2018",F,F
82298,,1748,"CE Report 3","2018",10/16/2018,"10/16/2018",F,F
82299,10877,,"CE Report 3","2018",10/16/2018,"10/14/2018",F,F
82300,9755,,"CE Report 4","2018",11/2/2018,"11/02/2018",F,F
82301,2059,,"CE Report 3","2018",10/16/2018,"10/15/2018",F,F
82302,6631,,"CE Report 3","2018",10/16/2018,"10/16/2018",F,T
82303,1209,,"CE Report 3","2018",10/16/2018,"10/14/2018",F,F
82304,1210,,"CE Report 3","2018",10/16/2018,"10/14/2018",F,F
82305,10835,,"CE Report 3 (Amended)","2018",10/16/2018,"10/14/2018",T,F
82306,134,,"CE Report 3","2018",10/16/2018,"10/14/2018",F,F
82308,,1330,"CE Report 3","2018",10/16/2018,"10/16/2018",F,F
82309,10872,,"CE Report 3","2018",10/16/2018,"10/14/2018",F,F
82310,778,,"CE Report 3","2018",10/16/2018,"10/14/2018",F,F
82311,,4768,"CE Report 3","2018",10/16/2018,"10/14/2018",F,F
82312,,697,"CE Report 3","2018",10/16/2018,"10/15/2018",F,F
